Assembly	BioSample	bioproject	organism_name	infraspecific_name	contigs	Largest_contig	Total_length	GC	collection_date	country	host_species	drug_resistance
GCF_000947875.1	SAMEA2794672	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MB1	47	447815	4274471	65.6				
GCF_000947895.1	SAMEA2794682	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MB3	88	230159	4257680	65.58				
GCF_001078615.1	SAMN03761171	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=1595	1	4351712	4351712	65.64	2012	Korea	Bos taurus	
GCF_001184735.1	SAMN03776961	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-001	92	241657	4292231	65.56	2014	Uruguay	Bos taurus	
GCF_001293105.1	SAMN03658568	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=BCG-1	1	4363945	4363945	65.6	2006	Russia	Bos sp.	
GCF_001369335.1	SAMEA2794687	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MB4	109	229115	4252126	65.59				
GCF_001455165.1	SAMN04241384	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=B-3222	56	395083	4299850	65.56	2013-03-21	South Korea	Bos taurus	
GCF_001483905.1	SAMN04364424	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=BCG-1 (Russia)	1	4370705	4370705	65.65	2014	Russia		
GCF_001726085.1	SAMN05725038	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=D-10-02315	134	205553	4237133	65.55	2010-11-30	France	Sus scrofa	
GCF_002026285.1	SAMN06250727	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=D11-00843	117	237066	4286045	65.54	2011-03-18	France	Sus scrofa	
GCF_002026325.1	SAMN06250738	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=D11-03130	124	236095	4298986	65.56	2011-11-23	France	Bos taurus	
GCF_002026395.1	SAMN06250728	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=D11-01601	160	176982	4284659	65.54	2011-04-08	France	Bos taurus	
GCF_002148975.1	SAMN06697553	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=M1009	29	568885	4321155	65.6	2016	Paraguay	Bos taurus	
GCF_002149005.1	SAMN06697554	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=M1010	28	568886	4321157	65.6	2016	Paraguay	Bos taurus	
GCF_002504245.2	SAMN07709478	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=3/86Rv	1	4350102	4350102	65.61	1986-07-05	India	Bos taurus	
GCF_002703685.1	SAMN06628113	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-005	90	254730	4370872	65.54	2014	Uruguay	Bos taurus	
GCF_002703695.1	SAMN06627997	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-004	79	455209	4456382	65.55	2015	Uruguay	Bos taurus	
GCF_002703725.1	SAMN06628112	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-006	82	264718	4293401	65.53	2014	Uruguay	Bos taurus	
GCF_002703735.1	SAMN06628114	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-003	88	254796	4374321	65.56	2015	Uruguay	Bos taurus	
GCF_002703765.1	SAMN06628115	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-002	82	271893	4501426	65.57	2008	Uruguay	Bos taurus	
GCF_002703785.1	SAMN06628109	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-008	115	245804	4327700	65.53	2015	Uruguay	Bos taurus	
GCF_002703795.1	SAMN06627996	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-023	102	245790	4206593	65.59	2005	Uruguay	Bos taurus	
GCF_002703825.1	SAMN06628110	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-007	96	252676	4424843	65.5	2014	Uruguay	Bos taurus	
GCF_002703835.1	SAMN06627426	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-009	86	236604	4317159	65.59	2015	Uruguay	Bos taurus	
GCF_002703865.1	SAMN06627494	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-012	155	205359	3712607	65.47	2015	Uruguay	Bos taurus	
GCF_002703875.1	SAMN06627643	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-017	85	227570	4296357	65.56	2015	Uruguay	Bos taurus	
GCF_002703885.1	SAMN06627994	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-021	80	214462	4314487	65.58	2010	Uruguay	Bos taurus	
GCF_002703895.1	SAMN06627448	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-011	83	195849	4307286	65.59	2015	Uruguay	Bos taurus	
GCF_002703945.1	SAMN06627533	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-010	88	264361	4306189	65.54	2014	Uruguay	Bos taurus	
GCF_002703955.1	SAMN06627993	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-020	86	263240	4300726	65.56	2008	Uruguay	Bos taurus	
GCF_002703985.1	SAMN06627600	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-013	181	186931	4088453	65.51	2015	Uruguay	Bos taurus	
GCF_002703995.1	SAMN06627995	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-022	90	267996	4206714	65.59	1982	Uruguay	Bos taurus	
GCF_002704025.1	SAMN06627641	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-016	113	212195	4298000	65.57	2015	Uruguay	Bos taurus	
GCF_002704035.1	SAMN06627992	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-019	86	263240	4300726	65.56	2010	Uruguay	Bos taurus	
GCF_002704055.1	SAMN06627645	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-018	114	221514	4271823	65.54	2015	Uruguay	Bos taurus	
GCF_002723535.1	SAMN06627640	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-015	128	157975	4296698	65.53	2015	Uruguay	Bos taurus	
GCF_002723545.1	SAMN06627497	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MbURU-013	129	247846	4291509	65.54	1998	Uruguay	Bos taurus	
GCF_002975475.1	SAMN08321034	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=2002/0476	1	4355637	4355637	65.62	2002	Canada	Bos taurus	
GCF_002976295.1	SAMN08321029	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=2008/0665	9	2087835	4319345	65.59	2008	Canada	Bos taurus	
GCF_002976335.1	SAMN08321055	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=BMR25/85	7	2026723	4327606	65.6	1985	Canada	Bison bison athabascae	
GCF_002976355.1	SAMN08321035	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=2006/0077	3	4328040	4343450	65.62	2006	Canada	Cervus canadensis	
GCF_002976375.1	SAMN08321046	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=2011/0565	2	4334518	4338276	65.61	2011	Canada	Bos taurus	
GCF_002982285.1	SAMN06462278	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=ATCC 19210	396	72991	4289504	65.55		USA	Bos taurus	
GCF_003027855.2	SAMN08741066	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Mb_wild_L1	110	242262	4275704	65.49	2012-09-11	Brazil	Lama glama	
GCF_003027875.2	SAMN08737676	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Mb_wild_b2	95	242248	4283183	65.5	2012-07-24		Bison bonasus	
GCF_005155785.1	SAMN10219709	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Danish delta-sapM	1	4332698	4332698	65.64	2016	Belgium		
GCF_005156105.1	SAMN10219708	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Danish 1331	1	4411814	4411814	65.65	2016	Belgium		
GCF_007922985.1	SAMN12388336	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Mb_wild_L2	102	323427	4306673	65.57	2012-09-11		Lama glama	
GCF_007922995.1	SAMN12388335	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Mb_CP	106	228856	4305365	65.55	2012-12-19	Brazil	Hydrochoerus hydrochaeris	
GCF_007989865.1	SAMN09206583	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE9	4	3667644	4349963	65.62	2014-11	Egypt	Bos taurus	
GCF_007989925.1	SAMN09206582	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE7	11	2857927	4346524	65.62	2014-07	Egypt	Bos taurus	
GCF_007989935.1	SAMN09206584	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE10	4	3667979	4350499	65.62	2015-01	Egypt	Bos taurus	
GCF_007990005.1	SAMN09206581	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE6	6	3175176	4344529	65.62	2014-02	Egypt	Bos taurus	
GCF_007990015.1	SAMN09206580	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE5	8	2858883	4345024	65.61	2014-05	Egypt	Bos taurus	
GCF_007990045.1	SAMN09206579	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE4	4	3176044	4346202	65.63	2014-01	Egypt	Bos taurus	
GCF_007990055.1	SAMN09206578	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE3	5	2858537	4345814	65.63	2014-09	Egypt	Bos taurus	
GCF_007990075.1	SAMN09206577	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE2	10	2002077	4347721	65.63	2014-02	Egypt	Bos taurus	
GCF_007990105.1	SAMN09206576	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=MBE1	5	2859506	4347015	65.63	2014-05	Egypt	Bos taurus	
GCF_008033095.1	SAMN11954087	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=1	1	4349904	4349904	65.63	2015-11-10	Brazil	Tapirus terrestris	
GCF_011392525.1	SAMN05791986	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=BCG-lung	228	178407	4420985	65.5	2008-07-10	USA	Homo sapiens	
GCF_011392565.1	SAMN05791987	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=BCG-brain	222	123904	4309296	65.47	2008-07-01	USA	Homo sapiens	
GCF_018305025.1	SAMN18264920	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Ravenel	3	4371545	4372633	65.62	1900	USA	Bos taurus	
GCF_018305045.1	SAMN18264921	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=10-7428	6	4360600	4363262	65.62	2010	USA	Bos taurus	
GCF_019075565.1	SAMN19110219	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=A2	15	4301900	4315943	65.61	2000	USA	Loxodonta	
GCF_020536615.1	SAMN21018175	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=TMT05	58	505512	4323930	65.61	2018-02-23	Brazil	Bos taurus	
GCF_020536625.1	SAMN21018178	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=TMT123	73	269963	4326154	65.62	2018-08-17	Brazil	Bos taurus	
GCF_020536635.1	SAMN21018176	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=TMT24	72	340469	4325831	65.62	2018-03-06	Brazil	Bos taurus	
GCF_020536675.1	SAMN21018177	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=TMT116	73	269963	4326154	65.62	2018-06-13	Brazil	Bos taurus	
GCF_902459825.2	SAMEA5803801	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Mb3601	1	4365068	4365068	65.64	2014	France	Bos taurus	
GCF_902506665.1	SAMEA6062798	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Marseille-P9979	157	225504	4272932	65.49			Homo sapiens	
GCF_902506725.1	SAMEA6062882	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Marseille-P9980	167	417546	4357336	65.24			Homo sapiens	
GCF_902509475.1	SAMEA6099651	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=Marseille-Q0209	130	210492	4280202	65.53				
GCF_903992665.1	SAMEA6617080	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1128	143	209728	4339296	65.43				
GCF_903992675.1	SAMEA6617085	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1134	144	278931	4331533	65.43				
GCF_903992685.1	SAMEA6617089	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1139	158	166698	4289506	65.53				
GCF_903992695.1	SAMEA6617081	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1129	135	227652	4339517	65.41				
GCF_903992715.1	SAMEA6617092	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1142	133	182500	4337253	65.52				
GCF_903992725.1	SAMEA6617086	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1135	91	209878	4206953	65.46				
GCF_903992735.1	SAMEA6617084	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1133	216	134933	4275169	65.49				
GCF_903992745.1	SAMEA6617083	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1132	181	146125	4310154	65.4				
GCF_903992755.1	SAMEA6617082	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1131	147	237290	4338096	65.42				
GCF_903992765.1	SAMEA6617091	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1141	207	141323	4310626	65.39				
GCF_903992775.1	SAMEA6617090	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1140	189	156808	4314705	65.51				
GCF_903992785.1	SAMEA6617088	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=CSURQ1138	237	153520	4315604	65.49				
GCF_000633085.1	SAMN02713587	PRJNA224116	Mycobacterium tuberculosis	strain=G-12-005	136	228604	4230125	65.49	2008-10-31	Georgia	Homo sapiens	
GCF_000666025.1	SAMN02673323	PRJNA224116	Mycobacterium tuberculosis	strain=MAL010075	3	4078625	4425502	65.59	2007-01-25	Mali	Homo sapiens	
GCF_000666045.1	SAMN02673324	PRJNA224116	Mycobacterium tuberculosis	strain=MAL010077	8	2060963	4427362	65.6	2007-02-26	Mali	Homo sapiens	
GCF_000666085.1	SAMN02673326	PRJNA224116	Mycobacterium tuberculosis	strain=MAL010119	15	1290100	4409573	65.6	2010-03-08	Mali	Homo sapiens	
GCF_000666105.1	SAMN02673327	PRJNA224116	Mycobacterium tuberculosis	strain=MAL020139	7	2297535	4419286	65.59	2007-06-15	Mali	Homo sapiens	
GCF_000666145.1	SAMN02673329	PRJNA224116	Mycobacterium tuberculosis	strain=MAL020151	14	1825364	4413752	65.58	2007-10-26	Mali	Homo sapiens	
GCF_000666165.1	SAMN02673330	PRJNA224116	Mycobacterium tuberculosis	strain=MAL020165	27	550179	4411899	65.6	2008-06-20	Mali	Homo sapiens	
GCF_000685425.1	SAMN02688394	PRJNA224116	Mycobacterium tuberculosis	strain=C2	58	283016	4442099	65.62	2007-04-12	Taiwan	Homo sapiens	
GCF_000689535.1	SAMEA3139015	PRJNA224116	Mycobacterium tuberculosis	strain=NZXDR1	123	157360	4224202	65.45				
GCF_000695365.1	SAMN02731427	PRJNA224116	Mycobacterium tuberculosis	strain=C2	126	197083	4350419	65.52	2011-10-11	India	Homo sapiens	
GCF_000706665.1	SAMN02767600	PRJNA224116	Mycobacterium tuberculosis	strain=KIT87190	1	4410788	4410788	65.61	2006-05-17	South Korea	Homo sapiens	
GCF_000715195.1	SAMN02848645	PRJNA224116	Mycobacterium tuberculosis	strain=VRFCWCF XDRTB 232	108	259135	4354007	65.48	2010-02-25	India	Homo sapiens	
GCF_000735595.1	SAMN02797828	PRJNA224116	Mycobacterium tuberculosis	strain=A2	189	148767	4442609	65.55	2006-07-28	Taiwan	Homo sapiens	
GCF_000735815.1	SAMN02911577	PRJNA224116	Mycobacterium tuberculosis	strain=0B329XDR	1	4539435	4539435	65.32	2010	Korea		
GCF_000735835.1	SAMN02911580	PRJNA224116	Mycobacterium tuberculosis	strain=0B259XDR	1	4539435	4539435	65.34	2010	Korea		
GCF_000735975.1	SAMN02911576	PRJNA224116	Mycobacterium tuberculosis	strain=0B123ND	1	4539435	4539435	65.44	2010	Korea		
GCF_000736015.1	SAMN02911579	PRJNA224116	Mycobacterium tuberculosis	strain=0B070XDR	1	4539435	4539435	65.34	2010	Korea		
GCF_000736235.1	SAMN02911572	PRJNA224116	Mycobacterium tuberculosis	strain=0A029DS	1	4539435	4539435	65.36	2010	Korea		
GCF_000736255.1	SAMN02911573	PRJNA224116	Mycobacterium tuberculosis	strain=0A012DS	1	4539435	4539435	65.36	2010	Korea		
GCF_000737385.1	SAMN02797826	PRJNA224116	Mycobacterium tuberculosis	strain=A4	68	305152	4450876	65.61	2008-08-18	Taiwan	Homo sapiens	
GCF_000738445.1	SAMN02943514	PRJNA224116	Mycobacterium tuberculosis	strain=ZMC13-264	1	4411507	4411507	65.61	2013	China	Homo sapiens	
GCF_000738475.1	SAMN02943515	PRJNA224116	Mycobacterium tuberculosis	strain=ZMC13-88	1	4411515	4411515	65.61	2013		Homo sapiens	
GCF_000743595.1	SAMN03002394	PRJNA224116	Mycobacterium tuberculosis	strain=VRF CWCF XDRTB 1028	136	210688	4314686	65.38	2013-05-29	India	Homo sapiens	
GCF_000756525.1	SAMN02887314	PRJNA224116	Mycobacterium tuberculosis	strain=96075	1	4379376	4379376	65.58	1995	China	Homo sapiens	
GCF_000756545.1	SAMN02874015	PRJNA224116	Mycobacterium tuberculosis	strain=96121	1	4410945	4410945	65.59	1996	Philippines	Homo sapiens	
GCF_000803725.1	SAMN03177466	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0183	119	265210	4365663	65.59	2005-07-19	South Korea	Homo sapiens	
GCF_000803735.1	SAMN03177465	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0182	116	237254	4359702	65.59	2005-06-01	South Korea	Homo sapiens	
GCF_000803745.1	SAMN03175163	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0181	115	233222	4375585	65.57	2005-05-17	South Korea	Homo sapiens	
GCF_000803755.1	SAMN03177469	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0184	117	233790	4367796	65.6	2005-07-21	South Korea	Homo sapiens	
GCF_000803805.1	SAMN03177470	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0185	110	227855	4357814	65.59	2005-07-27	South Korea	Homo sapiens	
GCF_000803825.1	SAMN03177471	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0186	119	220594	4357371	65.6	2005-08-26	South Korea	Homo sapiens	
GCF_000803845.1	SAMN03177473	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0187	98	298555	4371933	65.6	2005-08-23	South Korea	Homo sapiens	
GCF_000803865.1	SAMN03177474	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0188	111	225009	4359670	65.6	2005-08-01	South Korea	Homo sapiens	
GCF_000803885.1	SAMN03177475	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0189	130	262684	4364458	65.58	2005-11-07	South Korea	Homo sapiens	
GCF_000803905.1	SAMN03177477	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0190	118	229911	4358972	65.61	2006-05-12	South Korea	Homo sapiens	
GCF_000803925.1	SAMN03177478	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0191	110	204824	4350857	65.61	2006-06-14	South Korea	Homo sapiens	
GCF_000803945.1	SAMN03177480	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0192	113	204931	4390884	65.58	2005-05-03	South Korea	Homo sapiens	
GCF_000803965.1	SAMN03177481	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0133	119	231946	4364860	65.6	2005-06-07	South Korea	Homo sapiens	
GCF_000803985.1	SAMN03177483	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0193	116	229093	4374716	65.6	2005-08-10	South Korea	Homo sapiens	
GCF_000804005.1	SAMN03177484	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0194	137	298380	4376843	65.6	2005-08-08	South Korea	Homo sapiens	
GCF_000804025.1	SAMN03177485	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0195	104	229912	4352793	65.6	2005-08-24	South Korea	Homo sapiens	
GCF_000804045.1	SAMN03177486	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0196	104	295567	4352308	65.61	2005-09-13	South Korea	Homo sapiens	
GCF_000804055.1	SAMN03177487	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0197	113	295787	4366392	65.6	2005-09-07	South Korea	Homo sapiens	
GCF_000804065.1	SAMN03177488	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0140	119	281604	4363699	65.6	2005-09-29	South Korea	Homo sapiens	
GCF_000804105.1	SAMN03177489	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0198	107	295535	4356542	65.6	2005-11-11	South Korea	Homo sapiens	
GCF_000804125.1	SAMN03177490	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0026	120	247982	4343733	65.6	2005-11-21	South Korea	Homo sapiens	
GCF_000804145.1	SAMN03177491	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0199	106	250917	4377731	65.59	2005-12-13	South Korea	Homo sapiens	
GCF_000804165.1	SAMN03177492	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0200	113	204732	4361326	65.6	2005-12-16	South Korea	Homo sapiens	
GCF_000804185.1	SAMN03177493	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0201	121	228672	4360528	65.58	2006-01-23	South Korea	Homo sapiens	
GCF_000804205.1	SAMN03177494	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0202	117	204700	4366625	65.6	2006-03-06	South Korea	Homo sapiens	
GCF_000804225.1	SAMN03177495	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0203	112	297073	4362883	65.6	2006-04-25	South Korea	Homo sapiens	
GCF_000804245.1	SAMN03177496	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0022	104	281523	4396294	65.6	2006-05-29	South Korea	Homo sapiens	
GCF_000804265.1	SAMN03177497	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0005	106	247835	4342679	65.58	2006-05-24	South Korea	Homo sapiens	
GCF_000804285.1	SAMN03196604	PRJNA224116	Mycobacterium tuberculosis	strain=KT-0204	115	250621	4377030	65.57	2005-08-08	South Korea	Homo sapiens	
GCF_000805885.1	SAMN03265108	PRJNA224116	Mycobacterium tuberculosis	strain=Manu ancestor SIT523	221	156028	4230971	65.36	2007-12-15	Thailand	Homo sapiens	
GCF_000830545.2	SAMN03272559	PRJNA224116	Mycobacterium tuberculosis	strain=E186hv	115	230102	4327135	65.49	2014	Russia	Homo sapiens	
GCF_000934585.1	SAMN03290698	PRJNA224116	Mycobacterium tuberculosis	strain=PR08	1	4392860	4392860	65.43	2014-04-14	Malaysia	Homo sapiens	
GCF_000972185.1	SAMN03372109	PRJNA224116	Mycobacterium tuberculosis	strain=NZ3DS1	158	160503	4294796	65.47	2010	New Zealand	Homo sapiens	
GCF_000972425.1	SAMN03338743	PRJNA224116	Mycobacterium tuberculosis	strain=MTBR2/09	169	163650	4329399	65.57	2010	Malaysia	Homo sapiens	
GCF_000972445.1	SAMN03338744	PRJNA224116	Mycobacterium tuberculosis	strain=MTBR3/09	145	182182	4340290	65.59	2010	Malaysia	Homo sapiens	
GCF_000972465.1	SAMN03338742	PRJNA224116	Mycobacterium tuberculosis	strain=MTBR1/09	184	158252	4351045	65.55	2010	Malaysia	Homo sapiens	
GCF_000981265.1	SAMN03460429	PRJNA224116	Mycobacterium tuberculosis	strain=13-4152	120	230115	4323327	65.49	2013-06-16	Russia	Homo sapiens	
GCF_000982795.1	SAMEA1523354	PRJNA224116	Mycobacterium tuberculosis	strain=201366	83	296036	4370691	65.6	2008/2014	South Africa	Homo sapiens	
GCF_001017695.1	SAMN03496755	PRJNA224116	Mycobacterium tuberculosis	strain=13-2459	128	184042	4320154	65.48	2013-04-16	Russia	Homo sapiens	
GCF_001049395.1	SAMEA3246143	PRJNA224116	Mycobacterium tuberculosis	strain=Aethiop_vetus_229	156	183267	4486360	65.43		Ethiopia		
GCF_001049415.1	SAMEA3250476	PRJNA224116	Mycobacterium tuberculosis	strain=Aethiop_vetus_230	151	182978	4439012	65.41		Ethiopia		
GCF_001049435.1	SAMEA3250477	PRJNA224116	Mycobacterium tuberculosis	strain=Aethiop_vetus_232	154	182976	4335388	65.4		Ethiopia		
GCF_001049455.1	SAMEA3250478	PRJNA224116	Mycobacterium tuberculosis	strain=Aethiop_vetus_233	155	183267	4478319	65.43		Ethiopia		
GCF_001049475.1	SAMEA3250479	PRJNA224116	Mycobacterium tuberculosis	strain=Aethiop_vetus_234	162	213639	4294581	65.45		Ethiopia		
