Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_000177815.2_ASM17781v2_genomic	64	46	29	29	25	20	4371565	4358770	4327227	4327227	4245222	4020319	64	548283	4371565	65.34	222464	129842	7	14	763.64
GCF_000177835.2_ASM17783v2_genomic	55	36	12	12	12	9	4376086	4363540	4324812	4324812	4324812	4207631	55	799574	4376086	65.35	494897	333640	4	6	1015.27
GCF_000177875.2_ASM17787v2_genomic	41	24	10	10	9	8	4364362	4351691	4329895	4329895	4317655	4283502	41	1147504	4364362	65.36	629600	407891	3	5	981.70
GCF_000177895.2_ASM17789v2_genomic	41	20	6	6	6	6	4376842	4361358	4339722	4339722	4339722	4339722	41	1841643	4376842	65.34	926694	800997	2	3	1127.05
GCF_000177915.2_ASM17791v2_genomic	46	27	15	15	14	12	4375659	4361185	4342043	4342043	4318779	4246334	46	654721	4375659	65.36	510515	289366	4	7	1259.63
GCF_000177935.2_ASM17793v2_genomic	52	29	11	11	11	11	4407182	4389926	4361463	4361463	4361463	4361463	52	812648	4407182	65.34	495711	360345	4	6	1229.70
GCF_000184005.1_ASM18400v1_genomic	1	1	1	1	1	1	4404672	4404672	4404672	4404672	4404672	4404672	1	4404672	4404672	65.36	4404672	4404672	1	1	1658.42
GCF_000184025.1_ASM18402v1_genomic	1	1	1	1	1	1	4404714	4404714	4404714	4404714	4404714	4404714	1	4404714	4404714	65.42	4404714	4404714	1	1	1182.53
GCF_000184045.1_ASM18404v1_genomic	1	1	1	1	1	1	4397271	4397271	4397271	4397271	4397271	4397271	1	4397271	4397271	65.43	4397271	4397271	1	1	1190.12
GCF_000190335.1_MT_CDC1551A_V1_genomic	53	33	16	16	16	16	4380214	4365796	4339888	4339888	4339888	4339888	53	794125	4380214	65.37	412230	285878	4	7	909.22
GCF_000193185.2_ASM19318v2_genomic	1	1	1	1	1	1	4418548	4418548	4418548	4418548	4418548	4418548	1	4418548	4418548	65.61	4418548	4418548	1	1	0.00
GCF_000194035.1_ASM19403v2_genomic	32	31	25	24	23	20	4255552	4254815	4233807	4225170	4203922	4075863	32	917212	4255552	65.44	231516	127194	5	11	0.00
GCF_000194055.1_ASM19405v2_genomic	36	36	32	31	26	23	4271122	4271122	4258769	4251001	4159288	4032488	36	443304	4271122	65.44	251257	109944	6	14	0.00
GCF_000195835.3_ASM19583v2_genomic	1	1	1	1	1	1	4349904	4349904	4349904	4349904	4349904	4349904	1	4349904	4349904	65.63	4349904	4349904	1	1	0.00
GCF_000195955.2_ASM19595v2_genomic	1	1	1	1	1	1	4411532	4411532	4411532	4411532	4411532	4411532	1	4411532	4411532	65.61	4411532	4411532	1	1	0.00
GCF_000220415.1_ASM22041v1_genomic	1	1	1	1	1	1	4342996	4342996	4342996	4342996	4342996	4342996	1	4342996	4342996	65.30	4342996	4342996	1	1	455.91
GCF_000220435.1_ASM22043v1_genomic	1	1	1	1	1	1	4364777	4364777	4364777	4364777	4364777	4364777	1	4364777	4364777	65.37	4364777	4364777	1	1	345.95
GCF_000220455.1_ASM22045v1_genomic	1	1	1	1	1	1	4342459	4342459	4342459	4342459	4342459	4342459	1	4342459	4342459	65.34	4342459	4342459	1	1	257.92
GCF_000224435.1_ASM22443v1_genomic	1	1	1	1	1	1	4398525	4398525	4398525	4398525	4398525	4398525	1	4398525	4398525	65.60	4398525	4398525	1	1	0.00
GCF_000234725.1_ASM23472v1_genomic	1	1	1	1	1	1	4350386	4350386	4350386	4350386	4350386	4350386	1	4350386	4350386	65.66	4350386	4350386	1	1	0.05
GCF_000240245.1_MycTub_OSDD071_genomic	660	455	253	139	35	1	4285124	4166964	3656158	2828294	1208010	61739	571	61739	4249971	65.44	15012	7836	83	180	0.00
GCF_000240265.1_MycTub_OSDD504_genomic	1040	713	307	104	5	0	4226640	4043945	2983320	1548625	142824	0	880	37066	4165492	65.33	7926	4472	164	338	0.00
GCF_000240285.1_MycTub_OSDD518_genomic	685	478	265	148	25	1	4266804	4147540	3581246	2738343	841369	59005	598	59005	4232691	65.42	13742	7332	95	199	0.00
GCF_000253355.1_ASM25335v1_genomic	1	1	1	1	1	1	4389314	4389314	4389314	4389314	4389314	4389314	1	4389314	4389314	65.59	4389314	4389314	1	1	0.00
GCF_000256525.1_ASM25652v1_genomic	44	44	37	35	30	25	4321569	4321569	4301160	4287251	4193110	4015781	44	465199	4321569	65.38	182693	96194	7	16	0.00
GCF_000263135.1_H37RvCO4_genomic	1	1	1	1	1	1	4412883	4412883	4412883	4412883	4412883	4412883	1	4412883	4412883	65.41	4412883	4412883	1	1	1324.01
GCF_000270365.1_ASM27036v1_genomic	1	1	1	1	1	1	4405981	4405981	4405981	4405981	4405981	4405981	1	4405981	4405981	65.59	4405981	4405981	1	1	0.00
GCF_000277735.2_ASM27773v2_genomic	1	1	1	1	1	1	4411709	4411709	4411709	4411709	4411709	4411709	1	4411709	4411709	65.62	4411709	4411709	1	1	0.00
GCF_000291765.1_ASM29176v1_genomic	107	13	1	1	1	1	4518959	4481744	4464184	4464184	4464184	4464184	38	4464184	4500109	65.33	4464184	4464184	1	1	5300.49
GCF_000304555.1_Mt_UT205_genomic	1	1	1	1	1	1	4418088	4418088	4418088	4418088	4418088	4418088	1	4418088	4418088	65.48	4418088	4418088	1	1	3329.68
GCF_000313215.2_ASM31321v2_genomic	80	73	57	53	44	26	4352382	4348699	4315523	4288302	4134270	3495908	76	462627	4351249	65.43	134088	68371	11	22	0.00
GCF_000331445.1_ASM33144v1_genomic	1	1	1	1	1	1	4421197	4421197	4421197	4421197	4421197	4421197	1	4421197	4421197	65.62	4421197	4421197	1	1	0.00
GCF_000338715.2_ASM33871v2_genomic	1	1	1	1	1	1	4376711	4376711	4376711	4376711	4376711	4376711	1	4376711	4376711	65.64	4376711	4376711	1	1	0.00
GCF_000350205.1_ASM35020v1_genomic	1	1	1	1	1	1	4392353	4392353	4392353	4392353	4392353	4392353	1	4392353	4392353	65.56	4392353	4392353	1	1	0.00
GCF_000364945.1_Mycibacterium_tuberculosis_SP21_genome_scaffolding_genomic	30	14	12	12	12	12	4448432	4440921	4435994	4435994	4435994	4435994	20	806694	4445201	65.37	738393	359280	3	6	4444.25
GCF_000372545.3_MTB_PR05_version_2_genomic	224	148	100	87	55	28	4314365	4279542	4167636	4066317	3540576	2549284	178	181738	4300072	65.43	64519	35818	22	44	0.00
GCF_000400615.1_ASM40061v1_genomic	1	1	1	1	1	1	4414325	4414325	4414325	4414325	4414325	4414325	1	4414325	4414325	65.61	4414325	4414325	1	1	0.00
GCF_000417925.1_fedora0202c_genomic	1	1	1	1	1	1	4391869	4391869	4391869	4391869	4391869	4391869	1	4391869	4391869	65.59	4391869	4391869	1	1	544.98
GCF_000422125.1_ASM42212v1_genomic	1	1	1	1	1	1	4391174	4391174	4391174	4391174	4391174	4391174	1	4391174	4391174	65.62	4391174	4391174	1	1	0.00
GCF_000442795.1_fedora0704i_IS_genomic	1	1	1	1	1	1	4398504	4398504	4398504	4398504	4398504	4398504	1	4398504	4398504	65.61	4398504	4398504	1	1	405.57
GCF_000442945.1_fedora0201c_IS_genomic	1	1	1	1	1	1	4402571	4402571	4402571	4402571	4402571	4402571	1	4402571	4402571	65.55	4402571	4402571	1	1	782.43
GCF_000442965.1_fedora0802c_IS_genomic	1	1	1	1	1	1	4408178	4408178	4408178	4408178	4408178	4408178	1	4408178	4408178	65.59	4408178	4408178	1	1	724.34
GCF_000443005.1_fedora1005_IS_genomic	1	1	1	1	1	1	4408147	4408147	4408147	4408147	4408147	4408147	1	4408147	4408147	65.58	4408147	4408147	1	1	1282.81
GCF_000443305.1_fedora0203c_IS_genomic	1	1	1	1	1	1	4397671	4397671	4397671	4397671	4397671	4397671	1	4397671	4397671	65.56	4397671	4397671	1	1	903.50
GCF_000443325.1_fedora0205e_IS_genomic	1	1	1	1	1	1	4408813	4408813	4408813	4408813	4408813	4408813	1	4408813	4408813	65.49	4408813	4408813	1	1	1325.71
GCF_000443345.1_fedora0206b_IS_genomic	1	1	1	1	1	1	4404319	4404319	4404319	4404319	4404319	4404319	1	4404319	4404319	65.61	4404319	4404319	1	1	544.60
GCF_000443365.1_fedora0208e_IS_genomic	1	1	1	1	1	1	4393994	4393994	4393994	4393994	4393994	4393994	1	4393994	4393994	65.46	4393994	4393994	1	1	1475.61
GCF_000443405.1_fedora0209_IS_genomic	1	1	1	1	1	1	4408133	4408133	4408133	4408133	4408133	4408133	1	4408133	4408133	65.61	4408133	4408133	1	1	389.46
GCF_000443425.1_fedora0207g_IS_genomic	1	1	1	1	1	1	4398802	4398802	4398802	4398802	4398802	4398802	1	4398802	4398802	65.60	4398802	4398802	1	1	659.25
GCF_000443445.1_fedora0412_IS_genomic	1	1	1	1	1	1	4393218	4393218	4393218	4393218	4393218	4393218	1	4393218	4393218	65.56	4393218	4393218	1	1	572.56
GCF_000443465.1_fedora0410_IS_genomic	1	1	1	1	1	1	4404835	4404835	4404835	4404835	4404835	4404835	1	4404835	4404835	65.61	4404835	4404835	1	1	644.09
GCF_000443485.1_fedora0411_IS_genomic	1	1	1	1	1	1	4404586	4404586	4404586	4404586	4404586	4404586	1	4404586	4404586	65.60	4404586	4404586	1	1	678.09
GCF_000443505.1_fedora0409_IS_genomic	1	1	1	1	1	1	4402591	4402591	4402591	4402591	4402591	4402591	1	4402591	4402591	65.56	4402591	4402591	1	1	695.91
GCF_000443525.1_fedora0407b_IS_genomic	1	1	1	1	1	1	4405148	4405148	4405148	4405148	4405148	4405148	1	4405148	4405148	65.29	4405148	4405148	1	1	2878.22
GCF_000443545.1_fedora0405c_IS_genomic	1	1	1	1	1	1	4403568	4403568	4403568	4403568	4403568	4403568	1	4403568	4403568	65.60	4403568	4403568	1	1	94.54
GCF_000443575.1_fedora0404_IS_genomic	1	1	1	1	1	1	4404247	4404247	4404247	4404247	4404247	4404247	1	4404247	4404247	65.44	4404247	4404247	1	1	1503.73
GCF_000443595.1_fedora0403_IS_genomic	1	1	1	1	1	1	4400856	4400856	4400856	4400856	4400856	4400856	1	4400856	4400856	65.56	4400856	4400856	1	1	1305.81
GCF_000443615.1_fedora0402_IS_genomic	1	1	1	1	1	1	4412421	4412421	4412421	4412421	4412421	4412421	1	4412421	4412421	65.54	4412421	4412421	1	1	843.91
GCF_000443635.1_fedora0401c_IS_genomic	1	1	1	1	1	1	4407862	4407862	4407862	4407862	4407862	4407862	1	4407862	4407862	65.42	4407862	4407862	1	1	1812.28
GCF_000443655.1_fedora0317b_IS_genomic	1	1	1	1	1	1	4392448	4392448	4392448	4392448	4392448	4392448	1	4392448	4392448	65.35	4392448	4392448	1	1	2340.95
GCF_000443675.1_fedora0316c_IS_genomic	1	1	1	1	1	1	4394000	4394000	4394000	4394000	4394000	4394000	1	4394000	4394000	65.57	4394000	4394000	1	1	654.76
GCF_000443695.1_fedora0315_IS_genomic	1	1	1	1	1	1	4403042	4403042	4403042	4403042	4403042	4403042	1	4403042	4403042	65.40	4403042	4403042	1	1	1970.66
GCF_000443715.1_fedora0314e_IS_genomic	1	1	1	1	1	1	4392414	4392414	4392414	4392414	4392414	4392414	1	4392414	4392414	65.58	4392414	4392414	1	1	411.05
GCF_000443755.1_fedora0309c_IS_genomic	1	1	1	1	1	1	4390137	4390137	4390137	4390137	4390137	4390137	1	4390137	4390137	65.60	4390137	4390137	1	1	587.07
GCF_000443795.1_fedora0313c_IS_genomic	1	1	1	1	1	1	4401613	4401613	4401613	4401613	4401613	4401613	1	4401613	4401613	65.61	4401613	4401613	1	1	453.15
GCF_000443815.1_fedora0308g_IS_genomic	1	1	1	1	1	1	4391527	4391527	4391527	4391527	4391527	4391527	1	4391527	4391527	65.59	4391527	4391527	1	1	342.34
GCF_000443835.1_fedora0307c_IS_genomic	1	1	1	1	1	1	4403994	4403994	4403994	4403994	4403994	4403994	1	4403994	4403994	65.55	4403994	4403994	1	1	609.47
GCF_000443855.1_fedora0306b_IS_genomic	1	1	1	1	1	1	4402981	4402981	4402981	4402981	4402981	4402981	1	4402981	4402981	65.44	4402981	4402981	1	1	1672.55
GCF_000443875.1_fedora0304b_IS_genomic	1	1	1	1	1	1	4397923	4397923	4397923	4397923	4397923	4397923	1	4397923	4397923	65.40	4397923	4397923	1	1	1858.54
GCF_000443895.1_fedora0301c_IS_genomic	1	1	1	1	1	1	4395537	4395537	4395537	4395537	4395537	4395537	1	4395537	4395537	65.49	4395537	4395537	1	1	1252.20
GCF_000443915.1_fedora0305_IS_genomic	1	1	1	1	1	1	4386956	4386956	4386956	4386956	4386956	4386956	1	4386956	4386956	65.60	4386956	4386956	1	1	395.65
GCF_000443935.1_fedora0311b_IS_genomic	1	1	1	1	1	1	4404380	4404380	4404380	4404380	4404380	4404380	1	4404380	4404380	65.38	4404380	4404380	1	1	2093.78
GCF_000445245.1_fedora0501_IS_genomic	1	1	1	1	1	1	4407393	4407393	4407393	4407393	4407393	4407393	1	4407393	4407393	65.52	4407393	4407393	1	1	1172.64
GCF_000445265.1_fedora0503_IS_genomic	1	1	1	1	1	1	4386949	4386949	4386949	4386949	4386949	4386949	1	4386949	4386949	65.44	4386949	4386949	1	1	1413.10
GCF_000445285.1_fedora0505_IS_genomic	1	1	1	1	1	1	4407883	4407883	4407883	4407883	4407883	4407883	1	4407883	4407883	65.46	4407883	4407883	1	1	1582.62
GCF_000445305.1_fedora0601c_IS_genomic	1	1	1	1	1	1	4388875	4388875	4388875	4388875	4388875	4388875	1	4388875	4388875	65.25	4388875	4388875	1	1	2810.45
GCF_000445325.1_fedora0602_IS_genomic	1	1	1	1	1	1	4406449	4406449	4406449	4406449	4406449	4406449	1	4406449	4406449	65.57	4406449	4406449	1	1	735.38
GCF_000445345.1_fedora0603_IS_genomic	1	1	1	1	1	1	4408055	4408055	4408055	4408055	4408055	4408055	1	4408055	4408055	65.42	4408055	4408055	1	1	1852.00
GCF_000445365.1_fedora0604_IS_genomic	1	1	1	1	1	1	4388029	4388029	4388029	4388029	4388029	4388029	1	4388029	4388029	65.49	4388029	4388029	1	1	1082.92
GCF_000445515.1_fedora0605_IS_genomic	1	1	1	1	1	1	4405197	4405197	4405197	4405197	4405197	4405197	1	4405197	4405197	65.60	4405197	4405197	1	1	890.63
GCF_000445535.1_fedora0606c_IS_genomic	1	1	1	1	1	1	4408738	4408738	4408738	4408738	4408738	4408738	1	4408738	4408738	65.61	4408738	4408738	1	1	737.85
GCF_000445555.1_fedora0607c_IS_genomic	1	1	1	1	1	1	4405199	4405199	4405199	4405199	4405199	4405199	1	4405199	4405199	65.60	4405199	4405199	1	1	697.65
GCF_000445575.1_fedora0609c_IS_genomic	1	1	1	1	1	1	4405944	4405944	4405944	4405944	4405944	4405944	1	4405944	4405944	65.59	4405944	4405944	1	1	751.73
GCF_000445595.1_fedora0610c_IS_genomic	1	1	1	1	1	1	4402491	4402491	4402491	4402491	4402491	4402491	1	4402491	4402491	65.56	4402491	4402491	1	1	712.66
GCF_000445615.1_fedora0611c_IS_genomic	1	1	1	1	1	1	4398105	4398105	4398105	4398105	4398105	4398105	1	4398105	4398105	65.51	4398105	4398105	1	1	968.92
GCF_000445635.1_fedora0702f_IS_genomic	1	1	1	1	1	1	4406983	4406983	4406983	4406983	4406983	4406983	1	4406983	4406983	65.48	4406983	4406983	1	1	1428.60
GCF_000445655.1_fedora0703c_IS_genomic	1	1	1	1	1	1	4398277	4398277	4398277	4398277	4398277	4398277	1	4398277	4398277	65.54	4398277	4398277	1	1	855.33
GCF_000445675.1_fedora0707_IS_genomic	1	1	1	1	1	1	4405806	4405806	4405806	4405806	4405806	4405806	1	4405806	4405806	65.54	4405806	4405806	1	1	1003.02
GCF_000445695.1_fedora0708c_IS_genomic	1	1	1	1	1	1	4399724	4399724	4399724	4399724	4399724	4399724	1	4399724	4399724	65.61	4399724	4399724	1	1	398.82
GCF_000445715.1_fedora0801c_IS_genomic	1	1	1	1	1	1	4400549	4400549	4400549	4400549	4400549	4400549	1	4400549	4400549	65.56	4400549	4400549	1	1	1087.16
GCF_000445735.1_fedora0803c_IS_genomic	1	1	1	1	1	1	4406371	4406371	4406371	4406371	4406371	4406371	1	4406371	4406371	65.61	4406371	4406371	1	1	625.55
GCF_000445755.1_fedora0804_IS_genomic	1	1	1	1	1	1	4402266	4402266	4402266	4402266	4402266	4402266	1	4402266	4402266	65.53	4402266	4402266	1	1	1066.11
GCF_000445775.1_fedora0805c_IS_genomic	1	1	1	1	1	1	4394016	4394016	4394016	4394016	4394016	4394016	1	4394016	4394016	65.36	4394016	4394016	1	1	2044.26
GCF_000445795.1_fedora0902c_IS_genomic	1	1	1	1	1	1	4392209	4392209	4392209	4392209	4392209	4392209	1	4392209	4392209	65.40	4392209	4392209	1	1	2066.84
GCF_000445815.1_fedora0903_IS_genomic	1	1	1	1	1	1	4402661	4402661	4402661	4402661	4402661	4402661	1	4402661	4402661	65.59	4402661	4402661	1	1	542.51
GCF_000445835.1_fedora0904_IS_genomic	1	1	1	1	1	1	4407151	4407151	4407151	4407151	4407151	4407151	1	4407151	4407151	65.58	4407151	4407151	1	1	776.83
GCF_000445855.1_fedora0906c_IS_genomic	1	1	1	1	1	1	4399991	4399991	4399991	4399991	4399991	4399991	1	4399991	4399991	65.61	4399991	4399991	1	1	234.48
GCF_000445875.1_fedora0907c_IS_genomic	1	1	1	1	1	1	4400321	4400321	4400321	4400321	4400321	4400321	1	4400321	4400321	65.61	4400321	4400321	1	1	584.59
GCF_000445895.1_fedora0908c_IS_genomic	1	1	1	1	1	1	4400052	4400052	4400052	4400052	4400052	4400052	1	4400052	4400052	65.54	4400052	4400052	1	1	721.67
GCF_000445915.1_fedora0909_IS_genomic	1	1	1	1	1	1	4408002	4408002	4408002	4408002	4408002	4408002	1	4408002	4408002	65.53	4408002	4408002	1	1	1060.87
GCF_000445935.1_fedora1007_IS_genomic	1	1	1	1	1	1	4398360	4398360	4398360	4398360	4398360	4398360	1	4398360	4398360	65.62	4398360	4398360	1	1	1078.17
GCF_000445955.1_fedora1101e_IS_genomic	1	1	1	1	1	1	4369690	4369690	4369690	4369690	4369690	4369690	1	4369690	4369690	65.54	4369690	4369690	1	1	714.88
GCF_000445975.1_fedora1006_IS_genomic	1	1	1	1	1	1	4409116	4409116	4409116	4409116	4409116	4409116	1	4409116	4409116	65.54	4409116	4409116	1	1	1003.19
GCF_000454325.1_FJXDR1.0_genomic	112	91	56	50	43	34	4363305	4348519	4272836	4230864	4118625	3798785	110	230916	4362378	65.48	105614	74796	14	26	85.16
GCF_000454345.1_GZXDR1.0_genomic	97	86	62	54	45	29	4373311	4365102	4313172	4255259	4101979	3502382	97	267200	4373311	65.55	118085	58537	13	26	164.91
GCF_000463175.1_BCG_Frappier_genomic	178	137	92	85	58	26	4241507	4215893	4111025	4058474	3580228	2414146	167	192805	4237711	65.51	58924	33240	21	45	0.00
GCF_000463195.1_BCG_Glaxo_genomic	327	268	192	146	51	7	4205288	4170211	3963489	3632429	2044793	537045	312	111742	4200357	65.42	24356	15277	54	109	0.00
GCF_000463235.1_BCG_Phipps_genomic	810	630	281	126	9	0	4131474	4034696	3079400	1986260	301666	0	726	49467	4104151	65.32	9733	5015	133	281	0.00
GCF_000463255.1_BCG_Prague_genomic	896	694	300	98	8	0	4125595	4015655	2980449	1554498	237163	0	805	38693	4095205	65.30	8045	4689	153	319	0.00
GCF_000463275.1_BCG_Sweden_genomic	1092	826	290	80	1	0	4078835	3933003	2532005	1080597	25242	0	968	25242	4036969	65.22	6384	3711	200	405	0.00
GCF_000488915.1_MB04303v1_genomic	169	89	70	63	48	31	4313075	4278039	4236678	4184228	3897610	3303765	117	329090	4297231	65.47	85558	53917	15	30	0.00
GCF_000488935.1_MBAN5v1_genomic	70	61	46	43	37	25	4325667	4319129	4284698	4257219	4173566	3717294	70	419408	4325667	65.60	150219	83978	10	19	0.00
GCF_000509285.1_Mintra_1.0_genomic	121	99	71	64	49	26	3914047	3897291	3842994	3796892	3520048	2663279	121	184273	3914047	65.52	92044	40845	15	33	0.00
GCF_000512045.1_MTB_476_genomic	237	176	120	103	57	27	4297193	4265756	4129529	4002677	3270085	2189331	202	191295	4285523	65.24	50659	25818	27	55	0.00
GCF_000512065.1_MTB_489_genomic	177	154	118	99	53	23	4259567	4246316	4155401	4026617	3282575	2253760	167	246545	4256376	65.30	58067	25567	21	50	0.00
GCF_000516395.1_XDR1219_genomic	170	124	90	83	60	30	4319955	4287178	4205981	4150682	3768268	2672455	170	229376	4319955	65.50	62478	37462	21	43	0.00
GCF_000516415.1_WX3_genomic	160	131	96	89	59	32	4310512	4289877	4213160	4164445	3635001	2597678	160	229584	4310512	65.48	61282	37582	24	47	0.05
GCF_000516435.1_XDR1221_genomic	214	175	132	109	63	25	4304203	4275227	4167142	4004278	3295109	1928872	214	167831	4304203	65.47	45894	25349	30	61	0.00
GCF_000516455.1_WX1_genomic	183	146	104	96	60	29	4310154	4284283	4186146	4135555	3507760	2348885	183	183985	4310154	65.50	57133	35161	26	51	0.00
GCF_000524155.1_reference_map_genomic	20	20	19	18	17	16	4391020	4391020	4389247	4380941	4369440	4331038	20	1177574	4391020	65.61	444496	198114	4	7	1.66
GCF_000524175.1_reference_map_genomic	22	21	20	19	18	17	4391145	4390320	4388031	4379689	4368188	4329787	22	886092	4391145	65.61	444497	198114	4	8	1.87
GCF_000526115.1_reference_map_genomic	18	18	16	15	15	12	4379293	4379293	4372479	4365986	4365986	4271686	18	1181339	4379293	65.62	484455	333422	3	6	1.26
GCF_000568275.1_Mycobacterium_tuberculosis_HSZ10223_genomic	339	273	184	131	60	14	4293767	4259448	4049875	3662969	2457616	859800	308	103927	4283955	65.54	28412	15621	48	98	0.00
GCF_000572125.1_ASM57212v1_genomic	1	1	1	1	1	1	4407929	4407929	4407929	4407929	4407929	4407929	1	4407929	4407929	65.61	4407929	4407929	1	1	0.00
GCF_000572155.1_ASM57215v1_genomic	1	1	1	1	1	1	4401899	4401899	4401899	4401899	4401899	4401899	1	4401899	4401899	65.62	4401899	4401899	1	1	0.00
GCF_000572175.1_ASM57217v1_genomic	1	1	1	1	1	1	4399405	4399405	4399405	4399405	4399405	4399405	1	4399405	4399405	65.59	4399405	4399405	1	1	0.45
GCF_000572195.1_ASM57219v1_genomic	1	1	1	1	1	1	4414346	4414346	4414346	4414346	4414346	4414346	1	4414346	4414346	65.61	4414346	4414346	1	1	0.00
GCF_000633085.1_Mycobacterium_tuberculosis_G_12_005_genome_genomic	136	134	104	84	59	25	4230125	4229065	4137689	4001831	3547633	2376500	136	228604	4230125	65.49	59758	31457	21	46	0.00
GCF_000649215.1_Myco_tube_2484AR_V1_genomic	76	76	53	48	41	34	4396752	4396752	4336806	4301572	4186443	3929189	76	303404	4396752	65.62	116439	83106	14	25	4.55
GCF_000649235.1_Myco_tube_2074CJ_V1_genomic	108	108	81	70	56	32	4498376	4498376	4434504	4348017	4106231	3205958	108	203816	4498376	65.65	96437	46223	18	36	14.34
GCF_000649255.1_Myco_tube_2230BH_V1_genomic	119	119	86	70	49	30	4481522	4481522	4396307	4277373	3935552	3265802	119	231501	4481522	65.63	96196	41213	17	33	7.90
GCF_000649275.1_Myco_tube_2229BH_V1_genomic	123	123	89	79	61	32	4435168	4435168	4355700	4275209	3987297	2947502	123	183218	4435168	65.57	66661	41369	20	41	17.43
GCF_000649295.1_Myco_tube_2228BH_V1_genomic	98	98	66	61	50	32	4419479	4419479	4350279	4310801	4145879	3491036	98	234690	4419479	65.58	97567	59781	15	29	6.79
GCF_000649315.1_Myco_tube_3067CJ_V1_genomic	2	2	1	1	1	1	4417036	4417036	4414480	4414480	4414480	4414480	2	4414480	4417036	65.63	4414480	4414480	1	1	178.83
GCF_000649335.1_Myco_tube_2100HD_V1_genomic	113	113	84	68	53	34	4534850	4534850	4453075	4331420	4078315	3395141	113	230694	4534850	65.68	87262	49368	18	35	11.91
GCF_000649355.1_Myco_tube_2099HD_V1_genomic	182	182	128	103	58	27	4621583	4621583	4491246	4297938	3561840	2435791	182	205272	4621583	65.72	55169	27477	25	55	12.27
GCF_000649375.1_Myco_tube_2094HD_V1_genomic	122	122	86	74	51	28	4451087	4451087	4351188	4264220	3887685	3069448	122	194217	4451087	65.59	93045	39826	17	35	10.69
GCF_000649395.1_Myco_tube_2093HD_V1_genomic	85	85	60	56	44	32	4382585	4382585	4317013	4286659	4080580	3643680	85	335578	4382585	65.57	111085	65228	14	27	5.93
GCF_000649415.1_Myco_tube_2091HD_V1_genomic	98	98	62	57	44	32	4418377	4418377	4337138	4302855	4103838	3665702	98	303527	4418377	65.61	104298	66490	13	26	80.01
