All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N75      L50  L75  # N's per 100 kbp
GCF_000666865.1_Myco_afri_MAL020107_V1_genomic  2                    2                       2                       2                        2                        1                        4381902                 4381902                    4381902                    4381902                     4381902                     4342852                     2          4342852         4381902       65.59   4342852  4342852  1    1    51.37            
GCF_000666985.1_Myco_afri_MAL020135_V1_genomic  4                    4                       3                       3                        3                        3                        4388747                 4388747                    4385081                    4385081                     4385081                     4385081                     4          1873536         4388747       65.59   1837703  1837703  2    2    79.25            
GCF_000667005.1_Myco_tube_MAL020136_V1_genomic  4                    4                       3                       2                        2                        2                        4397782                 4397782                    4395512                    4389323                     4389323                     4389323                     4          3926697         4397782       65.58   3926697  3926697  1    1    257.70           
GCF_000667325.1_Myco_afri_MAL020173_V1_genomic  2                    2                       2                       2                        2                        2                        4383982                 4383982                    4383982                    4383982                     4383982                     4383982                     2          3911874         4383982       65.58   3911874  3911874  1    1    60.22            
GCF_000667365.1_Myco_afri_MAL020176_V1_genomic  2                    2                       2                       2                        2                        2                        4385261                 4385261                    4385261                    4385261                     4385261                     4385261                     2          2491844         4385261       65.59   2491844  1893417  1    2    35.92            
GCF_000667445.1_Myco_afri_MAL020185_V1_genomic  2                    2                       2                       2                        2                        2                        4395062                 4395062                    4395062                    4395062                     4395062                     4395062                     2          3920106         4395062       65.58   3920106  3920106  1    1    182.48           
GCF_000667525.1_Myco_tube_MAL020193_V1_genomic  7                    7                       4                       2                        2                        2                        4387100                 4387100                    4381138                    4366939                     4366939                     4366939                     7          3910994         4387100       65.55   3910994  3910994  1    1    408.72           
GCF_001593225.1_ASM159322v1_genomic             1                    1                       1                       1                        1                        1                        4493502                 4493502                    4493502                    4493502                     4493502                     4493502                     1          4493502         4493502       65.59   4493502  4493502  1    1    3324.62          
GCF_002982335.1_ASM298233v1_genomic             150                  93                      59                      54                       43                       33                       4352625                 4326585                    4255483                    4222014                     4039051                     3684158                     114        281449          4341512       65.55   102781   64839    13   26   14.81            
GCF_014489235.1_ASM1448923v1_genomic            160                  133                     82                      73                       56                       30                       4349370                 4329768                    4215409                    4152709                     3850659                     2916858                     160        202747          4349370       65.56   77061    41258    19   38   73.71            
GCF_014489295.1_ASM1448929v1_genomic            97                   81                      51                      50                       45                       33                       4362719                 4351291                    4288405                    4280747                     4206560                     3771848                     97         281793          4362719       65.60   114351   69204    13   26   65.10            
GCF_905183025.1_MAF01v1_genomic                 1                    1                       1                       1                        1                        1                        4366809                 4366809                    4366809                    4366809                     4366809                     4366809                     1          4366809         4366809       65.59   4366809  4366809  1    1    173.56           
GCF_905183075.1_MAF65v1_genomic                 1                    1                       1                       1                        1                        1                        4374993                 4374993                    4374993                    4374993                     4374993                     4374993                     1          4374993         4374993       65.60   4374993  4374993  1    1    159.63           
