genome.genome_id	genome_drug.antibiotic	genome_drug.computational_method	genome_drug.evidence	genome_drug.laboratory_typing_method	genome_drug.laboratory_typing_method_version	genome_drug.laboratory_typing_platform	genome_drug.measurement	genome_drug.measurement_sign	genome_drug.measurement_unit	genome_drug.measurement_value	genome_drug.resistant_phenotype	genome_drug.source	genome_drug.taxon_id	genome_drug.testing_standard	genome_drug.testing_standard_year
1773.20688	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1806.24	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	capreomycin	AdaBoost Classifier	Computational Method								Resistant		1806		
1806.24	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.24	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.23	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.25	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1427372.5	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1427372.5	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1427372		
1806.22	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1806		
1806.22	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1806		
1773.8205	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.8205	rifampin	AdaBoost Classifier	Computational Method								Resistant		1773		
1773.8205	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.8205	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.8205	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.8205	isoniazid	AdaBoost Classifier	Computational Method								Resistant		1773		
1773.8205	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.8205	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1765.433	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1765		
1765.433	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1765		
1773.20814	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20814	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1448825.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448825		
1448825.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448825		
1448825.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448825		
1448825.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448825		
1448804.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448804		
1448804.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448804		
1448804.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448804		
1448804.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448804		
1448806.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448806		
1448806.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448806		
1448806.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448806		
1448806.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448806		
1448807.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448807		
1448807.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448807		
1448807.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448807		
1448807.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Resistant		1448807		
1448808.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448808		
1448808.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448808		
1448808.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448808		
1448808.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448808		
1448831.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448831		
1448831.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448831		
1448831.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448831		
1448831.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448831		
1448826.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448826		
1448826.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448826		
1448826.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448826		
1448826.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448826		
1448810.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448810		
1448810.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448810		
1448810.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448810		
1448810.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448810		
1448811.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448811		
1448811.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448811		
1448811.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448811		
1448811.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448811		
1448829.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448829		
1448829.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448829		
1448829.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448829		
1448829.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448829		
1448812.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Resistant		1448812		
1448812.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448812		
1448812.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448812		
1448812.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Resistant		1448812		
1448827.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Resistant		1448827		
1448827.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448827		
1448827.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448827		
1448827.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Resistant		1448827		
1448830.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448830		
1448830.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448830		
1448830.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448830		
1448830.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448830		
1448813.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Resistant		1448813		
1448813.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448813		
1448813.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448813		
1448813.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Resistant		1448813		
1448821.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448821		
1448821.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448821		
1448821.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448821		
1448821.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448821		
1448828.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448828		
1448828.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448828		
1448828.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448828		
1448828.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448828		
1448822.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448822		
1448822.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448822		
1448822.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448822		
1448822.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448822		
1448814.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448814		
1448814.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448814		
1448814.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448814		
1448814.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448814		
1448815.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448815		
1448815.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448815		
1448815.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448815		
1448815.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448815		
1448816.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448816		
1448816.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448816		
1448816.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448816		
1448816.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448816		
1448817.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448817		
1448817.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448817		
1448817.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448817		
1448817.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448817		
1448823.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448823		
1448823.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448823		
1448823.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448823		
1448823.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448823		
1448818.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448818		
1448818.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448818		
1448818.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448818		
1448818.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448818		
1448819.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448819		
1448819.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448819		
1448819.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448819		
1448819.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448819		
1448833.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Resistant		1448833		
1448833.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Resistant		1448833		
1448833.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Resistant		1448833		
1448833.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Resistant		1448833		
1448824.3	rifampin		Laboratory Method	Agar proportion	128 mg/L						Susceptible		1448824		
1448824.3	ethambutol		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448824		
1448824.3	streptomycin		Laboratory Method	Agar proportion	8 mg/L						Susceptible		1448824		
1448824.3	isoniazid		Laboratory Method	Agar proportion	5 mg/L						Susceptible		1448824		
1400870.3	cycloserine		Laboratory Method	Broth dilution			8		mg/L	8			1400870		
1400870.3	kanamycin		Laboratory Method	Broth dilution			>40	>	mg/L	40			1400870		
1400870.3	amikacin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400870		
1400870.3	isoniazid		Laboratory Method	Broth dilution			0.5		mg/L	0.5			1400870		
1400870.3	ofloxacin		Laboratory Method	Broth dilution			4		mg/L	4			1400870		
1400870.3	rifampin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400870		
1400870.3	moxifloxacin		Laboratory Method	Agar dilution	0.5 mg/L						Susceptible		1400870		
1400870.3	rifabutin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1400870		
1400870.3	isoniazid		Laboratory Method	Agar dilution	1 mg/L						Susceptible		1400870		
1400870.3	rifampin		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400870		
1400870.3	streptomycin		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1400870		
1400870.3	ethambutol		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1400870		
1400870.3	ofloxacin		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400870		
1400870.3	moxifloxacin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400870		
1400870.3	para-aminosalicylic acid		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400870		
1400870.3	streptomycin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400870		
1400870.3	cycloserine		Laboratory Method	Agar dilution	25 mg/L						Susceptible		1400870		
1400870.3	amikacin		Laboratory Method	Agar dilution	4 mg/L						Resistant		1400870		
1400870.3	ethambutol		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400870		
1400870.3	ethionamide		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400870		
1400870.3	kanamycin		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400870		
1400870.3	isoniazid		Laboratory Method	Agar dilution	0.2 mg/L						Resistant		1400870		
1400870.3	moxifloxacin		Laboratory Method	Broth dilution			2		mg/L	2			1400870		
1400870.3	rifabutin		Laboratory Method	Broth dilution			4		mg/L	4			1400870		
1400870.3	streptomycin		Laboratory Method	Broth dilution			0.5		mg/L	0.5			1400870		
1400870.3	ethambutol		Laboratory Method	Broth dilution			4		mg/L	4			1400870		
1400870.3	ethionamide		Laboratory Method	Broth dilution			5		mg/L	5			1400870		
1400870.3	para-aminosalicylic acid		Laboratory Method	Broth dilution			8		mg/L	8			1400870		
1400871.3	para-aminosalicylic acid		Laboratory Method	Broth dilution			32		mg/L	32			1400871		
1400871.3	amikacin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400871		
1400871.3	ethambutol		Laboratory Method	Broth dilution			4		mg/L	4			1400871		
1400871.3	rifabutin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1400871		
1400871.3	moxifloxacin		Laboratory Method	Agar dilution	0.5 mg/L						Susceptible		1400871		
1400871.3	isoniazid		Laboratory Method	Agar dilution	1 mg/L						Susceptible		1400871		
1400871.3	rifampin		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400871		
1400871.3	ethambutol		Laboratory Method	Agar dilution	10 mg/L						Resistant		1400871		
1400871.3	streptomycin		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1400871		
1400871.3	ofloxacin		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400871		
1400871.3	moxifloxacin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400871		
1400871.3	para-aminosalicylic acid		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400871		
1400871.3	streptomycin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400871		
1400871.3	cycloserine		Laboratory Method	Agar dilution	25 mg/L						Resistant		1400871		
1400871.3	amikacin		Laboratory Method	Agar dilution	4 mg/L						Resistant		1400871		
1400871.3	kanamycin		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400871		
1400871.3	ethambutol		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400871		
1400871.3	ethionamide		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400871		
1400871.3	isoniazid		Laboratory Method	Agar dilution	0.2 mg/L						Resistant		1400871		
1400871.3	ethionamide		Laboratory Method	Broth dilution			5		mg/L	5			1400871		
1400871.3	streptomycin		Laboratory Method	Broth dilution			0.25		mg/L	0.25			1400871		
1400871.3	isoniazid		Laboratory Method	Broth dilution			0.5		mg/L	0.5			1400871		
1400871.3	kanamycin		Laboratory Method	Broth dilution			10		mg/L	10			1400871		
1400871.3	ofloxacin		Laboratory Method	Broth dilution			8		mg/L	8			1400871		
1400871.3	rifampin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400871		
1400871.3	moxifloxacin		Laboratory Method	Broth dilution			2		mg/L	2			1400871		
1400871.3	cycloserine		Laboratory Method	Broth dilution			32		mg/L	32			1400871		
1400871.3	rifabutin		Laboratory Method	Broth dilution			4		mg/L	4			1400871		
1400872.3	ethionamide		Laboratory Method	Broth dilution			10		mg/L	10			1400872		
1400872.3	cycloserine		Laboratory Method	Broth dilution			16		mg/L	16			1400872		
1400872.3	rifampin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400872		
1400872.3	ethambutol		Laboratory Method	Broth dilution			8		mg/L	8			1400872		
1400872.3	streptomycin		Laboratory Method	Broth dilution			>32	>	mg/L	32			1400872		
1400872.3	rifabutin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1400872		
1400872.3	moxifloxacin		Laboratory Method	Agar dilution	0.5 mg/L						Susceptible		1400872		
1400872.3	isoniazid		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400872		
1400872.3	rifampin		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400872		
1400872.3	streptomycin		Laboratory Method	Agar dilution	10 mg/L						Resistant		1400872		
1400872.3	ethambutol		Laboratory Method	Agar dilution	10 mg/L						Resistant		1400872		
1400872.3	ofloxacin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400872		
1400872.3	streptomycin		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400872		
1400872.3	para-aminosalicylic acid		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400872		
1400872.3	moxifloxacin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1400872		
1400872.3	cycloserine		Laboratory Method	Agar dilution	25 mg/L						Resistant		1400872		
1400872.3	amikacin		Laboratory Method	Agar dilution	4 mg/L						Resistant		1400872		
1400872.3	ethionamide		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400872		
1400872.3	kanamycin		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400872		
1400872.3	ethambutol		Laboratory Method	Agar dilution	5 mg/L						Resistant		1400872		
1400872.3	isoniazid		Laboratory Method	Agar dilution	0.2 mg/L						Resistant		1400872		
1400872.3	kanamycin		Laboratory Method	Broth dilution			>40	>	mg/L	40			1400872		
1400872.3	rifabutin		Laboratory Method	Broth dilution			16		mg/L	16			1400872		
1400872.3	moxifloxacin		Laboratory Method	Broth dilution			0.5		mg/L	0.5			1400872		
1400872.3	amikacin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400872		
1400872.3	isoniazid		Laboratory Method	Broth dilution			>4	>	mg/L	4			1400872		
1400872.3	ofloxacin		Laboratory Method	Broth dilution			2		mg/L	2			1400872		
1400872.3	para-aminosalicylic acid		Laboratory Method	Broth dilution			16		mg/L	16			1400872		
1417008.3	moxifloxacin		Laboratory Method	Broth dilution			>8	>	mg/L	8			1417008		
1417008.3	ethionamide		Laboratory Method	Broth dilution			>40	>	mg/L	40			1417008		
1417008.3	cycloserine		Laboratory Method	Broth dilution			16		mg/L	16			1417008		
1417008.3	kanamycin		Laboratory Method	Broth dilution			>40	>	mg/L	40			1417008		
1417008.3	moxifloxacin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1417008		
1417008.3	rifabutin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1417008		
1417008.3	isoniazid		Laboratory Method	Agar dilution	1 mg/L						Resistant		1417008		
1417008.3	rifampin		Laboratory Method	Agar dilution	1 mg/L						Resistant		1417008		
1417008.3	streptomycin		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1417008		
1417008.3	ethambutol		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1417008		
1417008.3	moxifloxacin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1417008		
1417008.3	streptomycin		Laboratory Method	Agar dilution	2 mg/L						Susceptible		1417008		
1417008.3	ofloxacin		Laboratory Method	Agar dilution	2 mg/L						Resistant		1417008		
1417008.3	para-aminosalicylic acid		Laboratory Method	Agar dilution	2 mg/L						Resistant		1417008		
1417008.3	cycloserine		Laboratory Method	Agar dilution	25 mg/L						Susceptible		1417008		
1417008.3	amikacin		Laboratory Method	Agar dilution	4 mg/L						Resistant		1417008		
1417008.3	ethionamide		Laboratory Method	Agar dilution	5 mg/L						Susceptible		1417008		
1417008.3	kanamycin		Laboratory Method	Agar dilution	5 mg/L						Resistant		1417008		
1417008.3	ethambutol		Laboratory Method	Agar dilution	5 mg/L						Resistant		1417008		
1417008.3	isoniazid		Laboratory Method	Agar dilution	0.2 mg/L						Resistant		1417008		
1417008.3	isoniazid		Laboratory Method	Broth dilution			>4	>	mg/L	4			1417008		
1417008.3	streptomycin		Laboratory Method	Broth dilution			2		mg/L	2			1417008		
1417008.3	para-aminosalicylic acid		Laboratory Method	Broth dilution			>64	>	mg/L	64			1417008		
1417008.3	rifabutin		Laboratory Method	Broth dilution			16		mg/L	16			1417008		
1417008.3	amikacin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1417008		
1417008.3	ethambutol		Laboratory Method	Broth dilution			8		mg/L	8			1417008		
1417008.3	ofloxacin		Laboratory Method	Broth dilution			16		mg/L	16			1417008		
1417008.3	rifampin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1417008		
1400873.3	rifampin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400873		
1400873.3	streptomycin		Laboratory Method	Broth dilution			4		mg/L	4			1400873		
1400873.3	rifabutin		Laboratory Method	Broth dilution			>16	>	mg/L	16			1400873		
1400873.3	ofloxacin		Laboratory Method	Broth dilution			8		mg/L	8			1400873		
1400873.3	para-aminosalicylic acid		Laboratory Method	Broth dilution			>64	>	mg/L	64			1400873		
1400873.3	cycloserine		Laboratory Method	Broth dilution			16		mg/L	16			1400873		
1400873.3	moxifloxacin		Laboratory Method	Agar dilution	0.5 mg/L						Susceptible		1400873		
1400873.3	rifabutin		Laboratory Method	Agar dilution	0.5 mg/L						Resistant		1400873		
1400873.3	isoniazid		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400873		
1400873.3	rifampin		Laboratory Method	Agar dilution	1 mg/L						Resistant		1400873		
1400873.3	streptomycin		Laboratory Method	Agar dilution	10 mg/L						Susceptible		1400873		
1400873.3	ethambutol		Laboratory Method	Agar dilution	10 mg/L						Resistant		1400873		
1400873.3	para-aminosalicylic acid		Laboratory Method	Agar dilution	2 mg/L						Resistant		1400873		
