BioSample	Alias	ArrayExpress-Species	Biosample	ENA checklist	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA accession	Submitter Id	Title	collected_by	collection_date	common name	genotype	geo_loc_name	host	host_disease	host_health_state	isolate	isolation_source	lat_lon	pubmed id	pubmed_id	sample_name	species	strain
SAMEA1018908		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018908	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_224-sc-2011-04-19T12:42:08Z-1125211			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_224-sc-2011-04-19T12:42:08Z-1125211		Bir 224
SAMEA1018911		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018911	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:38Z	public		Bir_380-sc-2011-05-27T14:48:05Z-1154795			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_380-sc-2011-05-27T14:48:05Z-1154795		Bir 380
SAMEA1018912		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018912	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:28Z	public		Bir_228-sc-2011-04-19T12:42:10Z-1125215			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_228-sc-2011-04-19T12:42:10Z-1125215		Bir 228
SAMEA1018913		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018913	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:23Z	public		Bir_393-sc-2011-05-27T14:48:13Z-1154808			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_393-sc-2011-05-27T14:48:13Z-1154808		Bir 393
SAMEA1018914		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018914	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T09:53:25Z	public		Bir_164-sc-2011-04-08T08:57:24Z-1118928			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_164-sc-2011-04-08T08:57:24Z-1118928		Bir 164
SAMEA1018916		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018916	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:16Z	public		Bir_230-sc-2011-04-19T12:42:11Z-1125217			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_230-sc-2011-04-19T12:42:11Z-1125217		Bir 230
SAMEA1018918		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018918	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:39Z	public		Bir_338-sc-2011-05-27T14:47:39Z-1154754			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_338-sc-2011-05-27T14:47:39Z-1154754		Bir 338
SAMEA1018920		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018920	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T09:54:17Z	public		Bir_435-sc-2011-09-20T16:23:58Z-1279747			2009			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_435-sc-2011-09-20T16:23:58Z-1279747		Bir 435
SAMEA1018921		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018921	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T11:42:58Z	public		Bir_240-sc-2011-04-19T12:42:17Z-1125227			2000			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_240-sc-2011-04-19T12:42:17Z-1125227		Bir 240
SAMEA1018923		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018923	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:38Z	public		Bir_337-sc-2011-05-27T14:47:39Z-1154753			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_337-sc-2011-05-27T14:47:39Z-1154753		Bir 337
SAMEA1018924		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018924	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:38Z	public		Bir_352-sc-2011-05-27T14:47:48Z-1154768			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_352-sc-2011-05-27T14:47:48Z-1154768		Bir 352
SAMEA1018925		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018925	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T09:53:28Z	public		Bir_256-sc-2011-04-19T12:42:25Z-1125242			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_256-sc-2011-04-19T12:42:25Z-1125242		Bir 256
SAMEA1018927		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018927	SC	Wellcome Sanger Institute	2011-09-27T09:08:55Z	2018-03-09T09:53:40Z	public		Bir_402-sc-2011-05-27T14:48:18Z-1154817			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_402-sc-2011-05-27T14:48:18Z-1154817		Bir 402
SAMEA1018928		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018928	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T09:53:40Z	public		Bir_363-sc-2011-05-27T14:47:54Z-1154779			2002			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_363-sc-2011-05-27T14:47:54Z-1154779		Bir 363
SAMEA1018929		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018929	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:40Z	public		Bir_379-sc-2011-05-27T14:48:04Z-1154794			2009			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_379-sc-2011-05-27T14:48:04Z-1154794		Bir 379
SAMEA1018931		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018931	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T10:06:26Z	public		Bir_413-sc-2011-09-20T17:13:41Z-1279725			2002			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_413-sc-2011-09-20T17:13:41Z-1279725		Bir 413
SAMEA1018934		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018934	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T09:53:33Z	public		Bir_223-sc-2011-04-19T12:42:07Z-1125210			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_223-sc-2011-04-19T12:42:07Z-1125210		Bir 223
SAMEA1018935		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018935	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:38Z	public		Bir_392-sc-2011-05-27T14:48:12Z-1154807			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_392-sc-2011-05-27T14:48:12Z-1154807		Bir 392
SAMEA1018936		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018936	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T09:54:18Z	public		Bir_419-sc-2011-09-20T19:43:50Z-1279731			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_419-sc-2011-09-20T19:43:50Z-1279731		Bir 419
SAMEA1018941		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018941	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T10:06:23Z	public		Bir_383-sc-2011-05-27T14:48:07Z-1154798			2002			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_383-sc-2011-05-27T14:48:07Z-1154798		Bir 383
SAMEA1018943		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018943	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T10:06:22Z	public		Bir_324-sc-2011-05-27T14:47:31Z-1154740			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_324-sc-2011-05-27T14:47:31Z-1154740		Bir 324
SAMEA1018945		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018945	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:23Z	public		Bir_382-sc-2011-05-27T14:48:06Z-1154797			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_382-sc-2011-05-27T14:48:06Z-1154797		Bir 382
SAMEA1018948		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018948	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:38Z	public		Bir_334-sc-2011-05-27T14:47:37Z-1154750			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_334-sc-2011-05-27T14:47:37Z-1154750		Bir 334
